,PROTEIN
2363,nucleocapsid phosphoprotein
1484,ORF1ab polyprotein
8426,ORF1ab polyprotein
7692,ORF1a polyprotein
10638,ORF1a polyprotein
6963,ORF1a polyprotein
11407,envelope protein
4405,surface glycoprotein
2632,ORF1ab polyprotein
8042,ORF8 protein
11238,ORF1ab polyprotein
9849,ORF1ab polyprotein
6581,ORF1a polyprotein
11286,ORF1a polyprotein
10920,nucleocapsid phosphoprotein
11515,ORF8b protein
10805,ORF1a polyprotein
7401,ORF1ab polyprotein
3780,ORF1a polyprotein
5620,ORF1ab polyprotein
11404,surface glycoprotein
4961,ORF8 protein
9767,ORF1a polyprotein
549,ORF1a polyprotein
9051,surface glycoprotein
4962,ORF1ab polyprotein
4537,ORF1ab polyprotein
2601,ORF1ab polyprotein
11591,ORF1a polyprotein
8732,ORF1ab polyprotein
10704,ORF1a polyprotein
2801,ORF1a polyprotein
12805,ORF1ab polyprotein
3998,ORF1a polyprotein
8597,ORF1ab polyprotein
6351,ORF1a polyprotein
2420,ORF1ab polyprotein
1506,ORF1ab polyprotein
9958,ORF1ab polyprotein
7365,ORF1ab polyprotein
8960,ORF1a polyprotein
8429,ORF1a polyprotein
8016,ORF1ab polyprotein
2003,nucleocapsid phosphoprotein
1846,ORF1a polyprotein
10847,ORF1a polyprotein
11819,ORF4b protein
2994,surface glycoprotein
12220,ORF1a polyprotein
8402,ORF1a polyprotein
12037,ORF1ab polyprotein
11697,ORF1ab polyprotein
1771,ORF1ab polyprotein
9415,surface glycoprotein
6958,ORF1a polyprotein
2227,ORF1ab polyprotein
2215,ORF1ab polyprotein
8740,ORF1ab polyprotein
1343,ORF1a polyprotein
13168,nucleocapsid phosphoprotein
2016,ORF1ab polyprotein
4152,ORF3a protein
6790,ORF1ab polyprotein
8497,ORF1ab polyprotein
2918,nucleocapsid phosphoprotein
3376,ORF1a polyprotein
3590,ORF1a polyprotein
1630,ORF1ab polyprotein
9813,nucleocapsid phosphoprotein
11381,ORF1ab polyprotein
1837,surface glycoprotein
11820,ORF1ab polyprotein
5549,ORF1ab polyprotein
5883,ORF1a polyprotein
3265,surface glycoprotein
13125,ORF4b protein
2894,ORF1ab polyprotein
11576,ORF3 protein
11469,ORF1a polyprotein
3656,ORF1ab polyprotein
1878,nucleocapsid phosphoprotein
9920,surface glycoprotein
5108,ORF1a polyprotein
3109,ORF1ab polyprotein
8787,ORF1a polyprotein
11682,ORF5 protein
11505,ORF1ab polyprotein
2287,ORF1a polyprotein
2081,ORF1a polyprotein
2589,ORF1ab polyprotein
7504,ORF1a polyprotein
11580,ORF4a protein
2217,ORF1ab polyprotein
10752,ORF1ab polyprotein
1949,ORF1ab polyprotein
10134,ORF1ab polyprotein
8843,ORF1ab polyprotein
1054,ORF1a polyprotein
273,ORF1ab polyprotein
12495,ORF1ab polyprotein
4784,ORF1ab polyprotein
5069,ORF1ab polyprotein
3176,ORF1a polyprotein
4003,ORF1a polyprotein
4146,ORF1ab polyprotein
3167,ORF1a polyprotein
1435,ORF1ab polyprotein
3924,ORF1ab polyprotein
6079,ORF1ab polyprotein
7926,ORF1ab polyprotein
1456,ORF1a polyprotein
10828,ORF1ab polyprotein
538,ORF1ab polyprotein
9388,ORF1a polyprotein
8799,surface glycoprotein
8238,ORF1a polyprotein
3021,ORF1a polyprotein
11362,ORF1ab polyprotein
7045,ORF1ab polyprotein
3194,nucleocapsid phosphoprotein
9447,ORF1ab polyprotein
141,ORF1ab polyprotein
9530,surface glycoprotein
11160,ORF3a protein
9311,ORF1ab polyprotein
6150,ORF1ab polyprotein
4866,ORF1a polyprotein
4589,surface glycoprotein
10501,surface glycoprotein
416,ORF1a polyprotein
9982,ORF1a polyprotein
2721,ORF1a polyprotein
11688,ORF8b protein
6509,ORF1ab polyprotein
10445,membrane glycoprotein
4041,ORF1ab polyprotein
7523,ORF1ab polyprotein
145,ORF1a polyprotein
2965,surface glycoprotein
1633,surface glycoprotein
6237,ORF1ab polyprotein
12314,nucleocapsid phosphoprotein
10172,nucleocapsid phosphoprotein
5088,ORF1ab polyprotein
6699,ORF1a polyprotein
5275,ORF1a polyprotein
8996,ORF1a polyprotein
4899,ORF1ab polyprotein
5425,ORF1ab polyprotein
10364,nucleocapsid phosphoprotein
12123,ORF1ab polyprotein
8253,ORF1a polyprotein
1668,nucleocapsid phosphoprotein
6595,ORF1ab polyprotein
4705,ORF1ab polyprotein
8261,ORF1a polyprotein
6364,ORF1a polyprotein
10715,ORF1ab polyprotein
11461,ORF1ab polyprotein
2762,nucleocapsid phosphoprotein
12911,ORF1ab polyprotein
10982,ORF1a polyprotein
6244,ORF1ab polyprotein
10666,ORF1a polyprotein
3798,nucleocapsid phosphoprotein
8093,ORF1ab polyprotein
8247,ORF1a polyprotein
932,ORF1ab polyprotein
9878,nucleocapsid phosphoprotein
3256,ORF1a polyprotein
10804,ORF1ab polyprotein
4852,ORF1ab polyprotein
12516,ORF1ab polyprotein
3549,ORF1ab polyprotein
904,ORF1a polyprotein
8889,ORF1ab polyprotein
5282,ORF1ab polyprotein
9522,ORF1a polyprotein
2933,ORF1ab polyprotein
3645,ORF1a polyprotein
12725,ORF1a polyprotein
2810,ORF1ab polyprotein
11860,nucleocapsid phosphoprotein
2382,ORF1ab polyprotein
4086,surface glycoprotein
9464,ORF1ab polyprotein
11283,ORF1ab polyprotein
9677,ORF1a polyprotein
11557,nucleocapsid phosphoprotein
1592,ORF1ab polyprotein
11867,ORF5 protein
4579,ORF1a polyprotein
7818,ORF1a polyprotein
5544,surface glycoprotein
8805,ORF1ab polyprotein
10810,ORF1ab polyprotein
13066,nucleocapsid phosphoprotein
7907,ORF1ab polyprotein
9728,ORF1a polyprotein
10095,ORF1a polyprotein
5086,ORF3a protein
5490,ORF3a protein
11164,ORF1a polyprotein
7348,ORF1ab polyprotein
6366,ORF1a polyprotein
10327,ORF1a polyprotein
1078,ORF1ab polyprotein
3906,ORF1a polyprotein
12354,ORF4a protein
2046,ORF1ab polyprotein
13103,ORF8b protein
1060,ORF1ab polyprotein
1225,ORF1ab polyprotein
9806,ORF1ab polyprotein
10529,ORF1a polyprotein
4249,ORF1a polyprotein
6978,ORF1a polyprotein
5210,ORF1a polyprotein
12532,ORF5 protein
6646,ORF1ab polyprotein
3008,ORF1ab polyprotein
10471,ORF1a polyprotein
2568,surface glycoprotein
4567,ORF1ab polyprotein
12250,ORF1a polyprotein
7653,nucleocapsid phosphoprotein
10056,nucleocapsid phosphoprotein
7283,ORF1ab polyprotein
6291,ORF1a polyprotein
251,ORF1ab polyprotein
8539,ORF1a polyprotein
6096,surface glycoprotein
8348,ORF1a polyprotein
3547,ORF1a polyprotein
9605,surface glycoprotein
1498,ORF1ab polyprotein
10931,ORF1ab polyprotein
3462,ORF1ab polyprotein
9635,ORF1ab polyprotein
7945,ORF1ab polyprotein
8623,ORF1ab polyprotein
5828,ORF1a polyprotein
1482,ORF1ab polyprotein
10723,nucleocapsid phosphoprotein
12723,ORF5 protein
220,surface glycoprotein
8240,ORF1a polyprotein
2031,ORF8 protein
5897,ORF1ab polyprotein
7238,ORF1a polyprotein
7742,nucleocapsid phosphoprotein
8212,ORF1ab polyprotein
12560,ORF3 protein
5806,ORF3a protein
1102,ORF1ab polyprotein
11334,ORF1ab polyprotein
616,surface glycoprotein
9848,ORF1ab polyprotein
4801,ORF1ab polyprotein
6393,ORF1a polyprotein
10597,ORF1ab polyprotein
2770,ORF8 protein
8662,ORF1ab polyprotein
11558,ORF8b protein
1125,ORF1ab polyprotein
2186,ORF1a polyprotein
2839,ORF1ab polyprotein
4234,ORF1ab polyprotein
11920,ORF1ab polyprotein
4532,ORF1a polyprotein
10026,ORF1a polyprotein
4988,ORF1a polyprotein
873,ORF1a polyprotein
4839,ORF1ab polyprotein
8356,surface glycoprotein
2486,ORF1ab polyprotein
12606,ORF1a polyprotein
2317,ORF1ab polyprotein
7057,ORF1ab polyprotein
5733,ORF1a polyprotein
3795,ORF1ab polyprotein
2479,ORF1ab polyprotein
9617,ORF1a polyprotein
11566,ORF1ab polyprotein
10034,ORF1a polyprotein
72,ORF1ab polyprotein
10055,ORF3a protein
161,ORF1ab polyprotein
860,ORF1ab polyprotein
3354,ORF1a polyprotein
10786,surface glycoprotein
12864,surface glycoprotein
2008,ORF1ab polyprotein
2266,ORF1ab polyprotein
4681,nucleocapsid phosphoprotein
1206,ORF7a protein
11653,ORF1ab polyprotein
11998,ORF5 protein
3292,ORF1ab polyprotein
6211,ORF1ab polyprotein
8914,ORF1a polyprotein
7366,ORF7a protein
7995,membrane glycoprotein
4070,ORF1a polyprotein
2584,ORF1ab polyprotein
5302,ORF1a polyprotein
8495,nucleocapsid phosphoprotein
11787,ORF1a polyprotein
7077,ORF1ab polyprotein
12192,ORF1ab polyprotein
4384,ORF1a polyprotein
9424,nucleocapsid phosphoprotein
7761,ORF1a polyprotein
5728,ORF1ab polyprotein
12628,surface glycoprotein
12617,nucleocapsid phosphoprotein
10977,surface glycoprotein
7370,ORF1ab polyprotein
2482,ORF1a polyprotein
11565,surface glycoprotein
9319,ORF1ab polyprotein
7483,ORF1ab polyprotein
10031,ORF1ab polyprotein
5116,ORF1ab polyprotein
10447,surface glycoprotein
12092,ORF1a polyprotein
6914,ORF1ab polyprotein
2905,surface glycoprotein
10502,ORF1ab polyprotein
3145,ORF1a polyprotein
6336,ORF1a polyprotein
9792,ORF1ab polyprotein
11246,nucleocapsid phosphoprotein
8377,ORF1ab polyprotein
4423,surface glycoprotein
4096,surface glycoprotein
12175,ORF1a polyprotein
2250,surface glycoprotein
2901,ORF1ab polyprotein
3341,ORF1ab polyprotein
10659,ORF1ab polyprotein
5348,ORF1ab polyprotein
2530,ORF1ab polyprotein
1361,ORF1a polyprotein
8371,ORF1ab polyprotein
3324,ORF1ab polyprotein
12044,surface glycoprotein
4534,ORF1ab polyprotein
11786,surface glycoprotein
8716,ORF1ab polyprotein
6225,ORF1ab polyprotein
335,ORF1a polyprotein
2605,surface glycoprotein
13081,ORF3 protein
8807,ORF1ab polyprotein
7535,ORF1a polyprotein
13110,ORF1ab polyprotein
1884,ORF1a polyprotein
6461,ORF1a polyprotein
11397,ORF5 protein
316,ORF1ab polyprotein
8360,ORF1a polyprotein
12812,ORF1ab polyprotein
9018,ORF1ab polyprotein
2076,ORF1ab polyprotein
4031,membrane glycoprotein
5174,surface glycoprotein
11838,ORF1a polyprotein
5669,ORF1ab polyprotein
6295,ORF1ab polyprotein
10589,ORF1ab polyprotein
7612,surface glycoprotein
5694,surface glycoprotein
4610,ORF1a polyprotein
9659,ORF1ab polyprotein
6149,ORF1ab polyprotein
8608,ORF1ab polyprotein
9153,ORF1a polyprotein
11025,membrane glycoprotein
837,surface glycoprotein
8670,ORF1ab polyprotein
6909,ORF1a polyprotein
10972,ORF3a protein
11449,ORF1ab polyprotein
2588,ORF1a polyprotein
4482,ORF1a polyprotein
9166,ORF1ab polyprotein
3302,ORF1ab polyprotein
11474,ORF8b protein
6863,ORF1ab polyprotein
10876,surface glycoprotein
4975,ORF1ab polyprotein
827,ORF1ab polyprotein
6345,nucleocapsid phosphoprotein
6337,ORF1a polyprotein
12581,ORF1ab polyprotein
822,ORF1a polyprotein
6166,ORF1ab polyprotein
1151,ORF1a polyprotein
4935,ORF1a polyprotein
4079,ORF1a polyprotein
9741,ORF1ab polyprotein
7912,ORF1ab polyprotein
8927,ORF3a protein
1707,ORF1a polyprotein
11180,ORF1ab polyprotein
4568,ORF1ab polyprotein
12720,ORF5 protein
7515,ORF1ab polyprotein
1778,ORF1a polyprotein
1499,ORF1ab polyprotein
5781,ORF1ab polyprotein
1797,ORF1ab polyprotein
11536,ORF1ab polyprotein
3360,ORF1ab polyprotein
901,ORF1a polyprotein
6938,ORF1a polyprotein
2471,ORF1ab polyprotein
12828,nucleocapsid phosphoprotein
3918,ORF1ab polyprotein
477,ORF1ab polyprotein
9644,ORF1a polyprotein
5833,membrane glycoprotein
9439,ORF1a polyprotein
6957,ORF1ab polyprotein
4533,ORF1ab polyprotein
6539,ORF1ab polyprotein
12826,ORF4a protein
6168,ORF1a polyprotein
3691,ORF1a polyprotein
61,surface glycoprotein
10130,ORF1a polyprotein
3689,ORF1ab polyprotein
2429,ORF1ab polyprotein
11927,ORF1a polyprotein
6256,ORF1ab polyprotein
9015,ORF1a polyprotein
6749,ORF1ab polyprotein
9344,ORF1ab polyprotein
5019,surface glycoprotein
11760,ORF4a protein
6865,ORF1ab polyprotein
2940,nucleocapsid phosphoprotein
4590,ORF1ab polyprotein
6109,ORF1a polyprotein
11830,ORF1a polyprotein
10894,surface glycoprotein
3030,ORF1ab polyprotein
1446,ORF1ab polyprotein
1756,ORF1ab polyprotein
10970,ORF1a polyprotein
1141,ORF1a polyprotein
4467,surface glycoprotein
1935,ORF1ab polyprotein
10691,ORF8 protein
3828,ORF1ab polyprotein
803,ORF1ab polyprotein
10441,ORF1a polyprotein
4895,ORF1ab polyprotein
6643,ORF1a polyprotein
11452,ORF1b polyprotein
6261,surface glycoprotein
359,ORF1ab polyprotein
6576,nucleocapsid phosphoprotein
6385,ORF1ab polyprotein
10728,surface glycoprotein
4075,ORF1ab polyprotein
12685,ORF1a polyprotein
6933,ORF1a polyprotein
1515,ORF1ab polyprotein
5561,ORF1a polyprotein
11949,ORF1a polyprotein
6209,ORF1ab polyprotein
689,ORF1a polyprotein
11456,ORF1a polyprotein
207,ORF1a polyprotein
91,ORF1a polyprotein
10696,surface glycoprotein
5010,ORF1ab polyprotein
9272,ORF1a polyprotein
5023,ORF1ab polyprotein
8847,ORF1a polyprotein
2533,ORF1a polyprotein
2547,ORF1a polyprotein
4822,ORF1ab polyprotein
9539,nucleocapsid phosphoprotein
1804,ORF1a polyprotein
5633,ORF1ab polyprotein
6071,ORF1a polyprotein
13133,membrane glycoprotein
6828,ORF1a polyprotein
6118,ORF1a polyprotein
2600,ORF1ab polyprotein
13020,ORF1a polyprotein
4952,ORF1ab polyprotein
2139,ORF1ab polyprotein
4874,ORF1a polyprotein
281,ORF1ab polyprotein
11888,membrane glycoprotein
1856,ORF1a polyprotein
12917,surface glycoprotein
4986,ORF1ab polyprotein
11893,ORF1ab polyprotein
8282,ORF1ab polyprotein
10239,surface glycoprotein
8502,surface glycoprotein
10551,ORF1ab polyprotein
9486,ORF1a polyprotein
2914,ORF1ab polyprotein
8831,surface glycoprotein
10962,surface glycoprotein
8641,ORF1ab polyprotein
2747,ORF1a polyprotein
8882,ORF1a polyprotein
8703,ORF1a polyprotein
6264,ORF1a polyprotein
2071,ORF1ab polyprotein
5621,surface glycoprotein
7694,ORF1ab polyprotein
5680,nucleocapsid phosphoprotein
7427,ORF1ab polyprotein
4400,ORF1ab polyprotein
11388,ORF1ab polyprotein
1608,ORF1ab polyprotein
8259,ORF1ab polyprotein
1971,ORF1a polyprotein
8903,ORF1a polyprotein
8791,ORF1a polyprotein
3406,ORF1a polyprotein
3385,ORF1a polyprotein
1564,ORF1ab polyprotein
1103,ORF1ab polyprotein
4265,ORF1ab polyprotein
7913,surface glycoprotein
12005,surface glycoprotein
2128,ORF1ab polyprotein
1370,ORF1a polyprotein
4388,ORF1a polyprotein
8923,ORF1a polyprotein
8030,ORF1ab polyprotein
2733,ORF1ab polyprotein
4506,ORF1ab polyprotein
1526,ORF1ab polyprotein
1207,ORF1ab polyprotein
3985,ORF1ab polyprotein
9634,ORF1ab polyprotein
8006,ORF1a polyprotein
4864,ORF1ab polyprotein
6726,ORF1a polyprotein
6238,ORF1ab polyprotein
4160,ORF1ab polyprotein
6100,ORF1a polyprotein
7116,ORF1a polyprotein
11887,ORF1ab polyprotein
3993,surface glycoprotein
10994,ORF8 protein
6124,ORF1ab polyprotein
11148,ORF1a polyprotein
3811,ORF1a polyprotein
3886,ORF1ab polyprotein
7933,ORF1ab polyprotein
9360,ORF1a polyprotein
9137,ORF1ab polyprotein
6973,ORF1ab polyprotein
10335,ORF1a polyprotein
7236,ORF1a polyprotein
2906,ORF1a polyprotein
2598,ORF1ab polyprotein
10664,ORF1a polyprotein
8164,ORF1a polyprotein
452,ORF1a polyprotein
12052,ORF1a polyprotein
4473,ORF1ab polyprotein
10069,surface glycoprotein
5764,ORF1ab polyprotein
11348,ORF1a polyprotein
12371,ORF1ab polyprotein
3212,ORF1ab polyprotein
11500,ORF1a polyprotein
3776,ORF1a polyprotein
9745,nucleocapsid phosphoprotein
7758,ORF1a polyprotein
2087,ORF1ab polyprotein
1582,surface glycoprotein
5998,ORF1ab polyprotein
4701,ORF1ab polyprotein
2392,ORF1a polyprotein
7418,ORF1ab polyprotein
81,ORF1ab polyprotein
7120,nucleocapsid phosphoprotein
1946,surface glycoprotein
11892,ORF1ab polyprotein
7382,ORF1ab polyprotein
570,ORF1a polyprotein
5227,ORF1ab polyprotein
11534,ORF1a polyprotein
9161,ORF1a polyprotein
2464,ORF1a polyprotein
3554,ORF1ab polyprotein
8651,ORF1a polyprotein
8505,ORF1a polyprotein
6672,ORF1ab polyprotein
358,ORF1ab polyprotein
8330,ORF1ab polyprotein
9657,surface glycoprotein
9371,ORF1ab polyprotein
2318,surface glycoprotein
9183,ORF1a polyprotein
6434,ORF1ab polyprotein
2973,ORF1a polyprotein
12833,nucleocapsid phosphoprotein
5789,ORF1ab polyprotein
423,ORF1ab polyprotein
11685,surface glycoprotein
427,ORF1ab polyprotein
10464,ORF1ab polyprotein
5211,ORF1a polyprotein
7317,ORF1ab polyprotein
7380,ORF1ab polyprotein
4062,ORF1ab polyprotein
6855,ORF1ab polyprotein
11957,ORF1a polyprotein
6315,ORF1ab polyprotein
6394,surface glycoprotein
4924,surface glycoprotein
3224,ORF1a polyprotein
5268,ORF1ab polyprotein
5277,ORF1a polyprotein
1214,ORF1a polyprotein
7008,ORF1a polyprotein
2110,ORF1ab polyprotein
8465,ORF1ab polyprotein
7812,ORF1ab polyprotein
1809,surface glycoprotein
10673,ORF1ab polyprotein
9449,nucleocapsid phosphoprotein
12782,surface glycoprotein
10083,ORF1a polyprotein
7723,ORF1ab polyprotein
11982,ORF1a polyprotein
2874,ORF1ab polyprotein
8820,surface glycoprotein
7296,ORF1ab polyprotein
1934,ORF7a protein
4001,ORF1ab polyprotein
6628,ORF1ab polyprotein
4134,ORF1ab polyprotein
11596,ORF1ab polyprotein
1056,ORF1ab polyprotein
7539,ORF1a polyprotein
8318,ORF1a polyprotein
8669,ORF3a protein
5558,ORF1a polyprotein
3242,surface glycoprotein
11974,ORF3 protein
1842,ORF1ab polyprotein
966,ORF1ab polyprotein
5697,nucleocapsid phosphoprotein
4867,ORF1ab polyprotein
930,ORF1a polyprotein
11551,surface glycoprotein
9338,ORF1a polyprotein
1595,ORF1a polyprotein
3894,ORF1ab polyprotein
12071,ORF1ab polyprotein
8729,ORF1ab polyprotein
3164,ORF1ab polyprotein
3675,ORF1a polyprotein
11005,ORF3a protein
7542,ORF1ab polyprotein
2011,ORF1a polyprotein
5889,surface glycoprotein
10779,nucleocapsid phosphoprotein
130,ORF1ab polyprotein
7307,ORF1ab polyprotein
1528,ORF1ab polyprotein
2559,ORF1ab polyprotein
920,ORF1ab polyprotein
8770,surface glycoprotein
4383,ORF1ab polyprotein
2164,ORF1ab polyprotein
1500,ORF1ab polyprotein
2849,ORF1ab polyprotein
598,ORF1ab polyprotein
1534,surface glycoprotein
30,ORF7a protein
10144,ORF1ab polyprotein
751,ORF1ab polyprotein
3739,ORF1ab polyprotein
6463,ORF1ab polyprotein
9002,ORF1ab polyprotein
6959,ORF1a polyprotein
2829,ORF1ab polyprotein
7385,ORF1a polyprotein
94,ORF1ab polyprotein
4342,ORF1a polyprotein
1487,ORF1ab polyprotein
10381,ORF3a protein
2433,ORF1ab polyprotein
11504,ORF1b polyprotein
10695,ORF1a polyprotein
10822,ORF1ab polyprotein
4699,ORF1a polyprotein
10550,ORF3a protein
2594,ORF1ab polyprotein
9898,ORF1a polyprotein
11744,ORF1ab polyprotein
4716,ORF1ab polyprotein
7526,ORF1a polyprotein
259,ORF1ab polyprotein
8835,ORF1ab polyprotein
11194,ORF3a protein
1261,ORF1ab polyprotein
2682,ORF1a polyprotein
628,ORF1ab polyprotein
5926,ORF1ab polyprotein
13175,ORF4b protein
2760,ORF1ab polyprotein
10262,surface glycoprotein
5062,ORF1ab polyprotein
1832,ORF1a polyprotein
3965,ORF1a polyprotein
3249,ORF1ab polyprotein
3422,surface glycoprotein
12421,ORF1ab polyprotein
6908,surface glycoprotein
810,ORF1a polyprotein
12126,ORF1ab polyprotein
4492,ORF3a protein
5836,ORF1a polyprotein
7829,ORF1a polyprotein
4357,ORF3a protein
7876,ORF1a polyprotein
9104,surface glycoprotein
10340,surface glycoprotein
12056,ORF1ab polyprotein
4208,ORF1ab polyprotein
3729,surface glycoprotein
7182,ORF1ab polyprotein
5506,surface glycoprotein
11406,ORF5 protein
5346,nucleocapsid phosphoprotein
11310,ORF8 protein
11317,ORF8 protein
4736,ORF1a polyprotein
5887,ORF1ab polyprotein
8209,surface glycoprotein
6486,surface glycoprotein
2160,ORF1a polyprotein
6637,ORF1a polyprotein
3936,ORF1a polyprotein
1257,ORF1a polyprotein
10901,ORF1a polyprotein
1072,surface glycoprotein
5092,ORF1ab polyprotein
8559,ORF1a polyprotein
4522,ORF1ab polyprotein
10787,ORF1ab polyprotein
11020,surface glycoprotein
8394,ORF1ab polyprotein
5144,ORF1ab polyprotein
7368,ORF1ab polyprotein
2092,ORF1a polyprotein
6654,ORF1a polyprotein
5162,surface glycoprotein
11272,ORF1ab polyprotein
9116,ORF1a polyprotein
10322,ORF1ab polyprotein
12043,ORF1ab polyprotein
12047,surface glycoprotein
4430,ORF1ab polyprotein
3598,ORF1a polyprotein
4655,ORF1a polyprotein
9672,ORF1ab polyprotein
7766,ORF1ab polyprotein
7850,ORF1ab polyprotein
11111,ORF1ab polyprotein
7252,ORF1ab polyprotein
2900,ORF1a polyprotein
11401,surface glycoprotein
2521,ORF1ab polyprotein
10727,surface glycoprotein
1888,ORF1ab polyprotein
7010,surface glycoprotein
13166,ORF7a protein
57,ORF1ab polyprotein
6966,ORF1ab polyprotein
12799,ORF1a polyprotein
7012,surface glycoprotein
13071,surface glycoprotein
10390,ORF1a polyprotein
264,ORF1ab polyprotein
3992,surface glycoprotein
11233,surface glycoprotein
6534,ORF1ab polyprotein
10938,surface glycoprotein
6847,ORF1a polyprotein
11224,ORF1ab polyprotein
2742,ORF1a polyprotein
4172,nucleocapsid phosphoprotein
6384,ORF1a polyprotein
4373,ORF1ab polyprotein
12142,ORF1ab polyprotein
4435,surface glycoprotein
11508,ORF1a polyprotein
9560,ORF1ab polyprotein
4913,ORF1ab polyprotein
7924,ORF1a polyprotein
4682,surface glycoprotein
5635,ORF1ab polyprotein
8973,ORF1ab polyprotein
7816,ORF1ab polyprotein
8471,surface glycoprotein
11833,nucleocapsid phosphoprotein
10512,ORF1ab polyprotein
3695,ORF1a polyprotein
3636,surface glycoprotein
3511,ORF1ab polyprotein
7649,ORF1ab polyprotein
3335,ORF1a polyprotein
6375,ORF1ab polyprotein
11142,ORF1a polyprotein
596,surface glycoprotein
5115,ORF1a polyprotein
4616,ORF1a polyprotein
9155,ORF1a polyprotein
2645,ORF1a polyprotein
9933,ORF1a polyprotein
1416,ORF1ab polyprotein
5212,surface glycoprotein
11265,surface glycoprotein
10763,ORF3a protein
6948,ORF1a polyprotein
11980,ORF1a polyprotein
6403,ORF1ab polyprotein
11193,membrane glycoprotein
2121,ORF1a polyprotein
4397,ORF1a polyprotein
708,ORF1a polyprotein
9999,ORF1ab polyprotein
7048,ORF1a polyprotein
5822,ORF1ab polyprotein
543,nucleocapsid phosphoprotein
3122,ORF8 protein
2350,ORF1ab polyprotein
10884,surface glycoprotein
3154,surface glycoprotein
4670,surface glycoprotein
5588,ORF1ab polyprotein
5794,nucleocapsid phosphoprotein
2764,ORF1a polyprotein
3105,ORF1a polyprotein
7848,ORF1a polyprotein
1492,ORF1ab polyprotein
10330,ORF3a protein
4283,ORF1ab polyprotein
2834,ORF1a polyprotein
10761,ORF1a polyprotein
1961,ORF1a polyprotein
3184,nucleocapsid phosphoprotein
2062,surface glycoprotein
4826,ORF1ab polyprotein
5223,ORF1a polyprotein
5819,ORF1a polyprotein
5351,nucleocapsid phosphoprotein
